bug_id,"product","component","assigned_to","bug_status","resolution","opendate","changeddate"
206219,"WebKit","Forms","webkit-unassigned","NEW"," ---","2020-01-14 02:32:10","2020-02-23 09:25:09"
208035,"WebKit","New Bugs","achristensen","NEW"," ---","2020-02-20 15:32:12","2020-02-24 10:12:41"
208175,"WebKit","New Bugs","andresg_22","NEW"," ---","2020-02-24 20:02:07","2020-02-24 22:05:37"
139438,"WebKit","Tools / Tests","aperez","NEW"," ---","2014-12-09 02:43:45","2020-02-22 16:36:16"
151885,"WebKit","Platform","bfulgham","NEW"," ---","2015-12-04 14:35:23","2020-02-21 12:00:51"
206431,"WebKit","JavaScriptCore","caitp","NEW"," ---","2020-01-17 10:58:21","2020-02-24 08:02:45"
204936,"WebKit","DOM","cathiechen","NEW"," ---","2019-12-05 23:00:23","2020-02-17 21:40:34"
202566,"WebKit","JavaScriptCore","chi187","NEW"," ---","2019-10-03 23:37:58","2020-02-19 12:23:32"
158401,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2016-06-05 12:37:04","2020-02-24 19:04:25"
197297,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2019-04-25 15:08:44","2020-02-24 14:31:34"
201849,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2019-09-16 16:27:30","2020-02-24 07:47:10"
206178,"WebKit","HTML Editing","commit-queue","NEW"," ---","2020-01-13 08:48:58","2020-02-24 19:04:25"
206554,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-01-21 14:16:27","2020-02-20 10:55:02"
207995,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-19 22:19:07","2020-02-24 03:42:33"
208016,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-20 10:54:16","2020-02-24 16:57:18"
208017,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-20 10:54:26","2020-02-22 17:14:20"
208159,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-24 15:03:20","2020-02-24 19:04:25"
207890,"WebKit","WPE WebKit","cturner","NEW"," ---","2020-02-18 08:10:26","2020-02-19 05:13:37"
126404,"WebKit","WebGL","dino","NEW"," ---","2014-01-02 14:26:46","2020-02-17 16:55:02"
207858,"WebKit","WebGL","dino","NEW"," ---","2020-02-17 13:46:44","2020-02-24 15:01:20"
208183,"WebKit","New Bugs","dpino","NEW"," ---","2020-02-25 00:15:38","2020-02-25 00:15:59"
208079,"WebKit","Animations","graouts","NEW"," ---","2020-02-21 16:32:45","2020-02-24 09:13:44"
205192,"WebKit","New Bugs","jer.noble","NEW"," ---","2019-12-12 17:53:36","2020-02-17 20:25:23"
207795,"WebKit","New Bugs","jer.noble","NEW"," ---","2020-02-14 14:54:58","2020-02-24 13:55:08"
208090,"WebKit","New Bugs","jer.noble","NEW"," ---","2020-02-21 23:37:49","2020-02-24 22:24:59"
203735,"WebKit","Tools / Tests","jiewen_tan","NEW"," ---","2019-11-01 06:24:21","2020-02-22 06:08:35"
208087,"WebKit","WebKit Misc.","jiewen_tan","NEW"," ---","2020-02-21 20:54:28","2020-02-24 15:51:22"
208157,"WebKit","WebKit Website","jond","NEW"," ---","2020-02-24 14:33:41","2020-02-24 14:38:22"
207522,"WebKit","JavaScriptCore","justin_michaud","NEW"," ---","2020-02-10 16:56:44","2020-02-24 16:17:14"
207842,"WebKit","WebKit Misc.","katherine_cheney","NEW"," ---","2020-02-17 08:43:25","2020-02-17 08:43:49"
