bug_id,"product","component","assigned_to","bug_status","resolution","opendate","changeddate"
127917,"WebKit","Layout and Rendering","webkit-unassigned","NEW","ERROR INJECTED TO THIS LINE","2020-05-30 09:56:33","2020-02-08 13:47:41"
127916,"WebKit","Layout and Rendering","webkit-unassigned","NEW"," ---","2014-01-30 09:56:33","2020-02-08 13:47:41"
206219,"WebKit","Forms","webkit-unassigned","NEW"," ---","2020-01-14 02:32:10","2020-02-23 09:25:09"
207251,"WebKit","New Bugs","achristensen","NEW"," ---","2020-02-05 00:19:24","2020-02-05 09:48:29"
207639,"WebKit","New Bugs","achristensen","NEW"," ---","2020-02-12 09:54:23","2020-02-12 09:57:03"
208035,"WebKit","New Bugs","achristensen","NEW"," ---","2020-02-20 15:32:12","2020-02-24 10:12:41"
207195,"WebKit","WebKitGTK","alex","NEW"," ---","2020-02-04 06:58:59","2020-02-10 09:26:35"
208175,"WebKit","New Bugs","andresg_22","NEW"," ---","2020-02-24 20:02:07","2020-02-24 22:05:37"
139438,"WebKit","Tools / Tests","aperez","NEW"," ---","2014-12-09 02:43:45","2020-02-22 16:36:16"
198795,"WebKit","WebKit API","beidson","NEW"," ---","2019-06-12 11:05:33","2020-02-05 16:32:09"
151885,"WebKit","Platform","bfulgham","NEW"," ---","2015-12-04 14:35:23","2020-02-21 12:00:51"
207373,"WebKit","Tools / Tests","bfulgham","NEW"," ---","2020-02-06 18:55:42","2020-02-10 10:09:25"
207708,"WebKit","WebKit2","bfulgham","NEW"," ---","2020-02-13 10:13:24","2020-02-13 11:01:53"
206431,"WebKit","JavaScriptCore","caitp","NEW"," ---","2020-01-17 10:58:21","2020-02-24 08:02:45"
204936,"WebKit","DOM","cathiechen","NEW"," ---","2019-12-05 23:00:23","2020-02-17 21:40:34"
202566,"WebKit","JavaScriptCore","chi187","NEW"," ---","2019-10-03 23:37:58","2020-02-19 12:23:32"
200537,"WebKit","Tools / Tests","clopez","NEW"," ---","2019-08-08 07:27:29","2020-02-14 04:03:39"
202525,"WebKit","Service Workers","clord","NEW"," ---","2019-10-03 07:02:04","2020-02-25 01:16:25"
202793,"WebKit","Canvas","clord","NEW"," ---","2019-10-10 06:10:11","2020-02-13 08:31:19"
202797,"WebKit","Canvas","clord","NEW"," ---","2019-10-10 07:15:11","2020-02-13 08:31:27"
158401,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2016-06-05 12:37:04","2020-02-24 19:04:25"
197297,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2019-04-25 15:08:44","2020-02-24 14:31:34"
201849,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2019-09-16 16:27:30","2020-02-24 07:47:10"
202003,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2019-09-19 13:51:30","2020-02-13 10:11:21"
205216,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2019-12-13 12:48:20","2020-02-14 08:29:33"
206028,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-01-09 13:22:55","2020-02-14 16:08:24"
206029,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-01-09 13:23:01","2020-02-12 18:17:52"
206178,"WebKit","HTML Editing","commit-queue","NEW"," ---","2020-01-13 08:48:58","2020-02-24 19:04:25"
206226,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-01-14 04:43:08","2020-02-07 16:46:21"
206554,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-01-21 14:16:27","2020-02-20 10:55:02"
206677,"WebKit","Page Loading","commit-queue","NEW"," ---","2020-01-23 10:41:37","2020-02-04 20:48:00"
207995,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-19 22:19:07","2020-02-24 03:42:33"
208016,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-20 10:54:16","2020-02-24 16:57:18"
208017,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-20 10:54:26","2020-02-22 17:14:20"
208159,"WebKit","Tools / Tests","commit-queue","NEW"," ---","2020-02-24 15:03:20","2020-02-24 19:04:25"
207890,"WebKit","WPE WebKit","cturner","NEW"," ---","2020-02-18 08:10:26","2020-02-19 05:13:37"
126404,"WebKit","WebGL","dino","NEW"," ---","2014-01-02 14:26:46","2020-02-17 16:55:02"
207591,"WebKit","New Bugs","dino","NEW"," ---","2020-02-11 15:34:42","2020-02-11 16:20:34"
207858,"WebKit","WebGL","dino","NEW"," ---","2020-02-17 13:46:44","2020-02-24 15:01:20"
207648,"WebKit","New Bugs","dpino","NEW"," ---","2020-02-12 10:56:03","2020-02-13 11:50:12"
207745,"WebKit","New Bugs","dpino","NEW"," ---","2020-02-13 21:48:14","2020-02-13 21:48:32"
208183,"WebKit","New Bugs","dpino","NEW"," ---","2020-02-25 00:15:38","2020-02-25 00:15:59"
208184,"WebKit","New Bugs","dpino","NEW"," ---","2020-02-25 01:05:34","2020-02-25 01:05:57"
200854,"WebKit","Web Inspector","drousso","NEW"," ---","2019-08-16 23:59:16","2020-02-14 14:23:36"
205801,"WebKit","Media","eocanha","NEW"," ---","2020-01-06 07:39:13","2020-02-14 10:16:19"
207327,"WebKit","Tools / Tests","graouts","NEW"," ---","2020-02-06 05:14:25","2020-02-06 09:09:22"
207355,"WebKit","Animations","graouts","NEW"," ---","2020-02-06 14:33:42","2020-02-06 14:36:19"
208079,"WebKit","Animations","graouts","NEW"," ---","2020-02-21 16:32:45","2020-02-24 09:13:44"
203816,"WebKit","Tools / Tests","jbedard","NEW"," ---","2019-11-04 10:31:36","2020-02-10 10:25:02"
207218,"WebKit","Tools / Tests","jbedard","NEW"," ---","2020-02-04 12:01:00","2020-02-05 16:24:56"
205192,"WebKit","New Bugs","jer.noble","NEW"," ---","2019-12-12 17:53:36","2020-02-17 20:25:23"
207391,"WebKit","New Bugs","jer.noble","NEW"," ---","2020-02-07 10:17:03","2020-02-07 11:59:13"
207795,"WebKit","New Bugs","jer.noble","NEW"," ---","2020-02-14 14:54:58","2020-02-24 13:55:08"
208090,"WebKit","New Bugs","jer.noble","NEW"," ---","2020-02-21 23:37:49","2020-02-24 22:24:59"
203735,"WebKit","Tools / Tests","jiewen_tan","NEW"," ---","2019-11-01 06:24:21","2020-02-22 06:08:35"
208087,"WebKit","WebKit Misc.","jiewen_tan","NEW"," ---","2020-02-21 20:54:28","2020-02-24 15:51:22"
208157,"WebKit","WebKit Website","jond","NEW"," ---","2020-02-24 14:33:41","2020-02-24 14:38:22"
207522,"WebKit","JavaScriptCore","justin_michaud","NEW"," ---","2020-02-10 16:56:44","2020-02-24 16:17:14"
207842,"WebKit","WebKit Misc.","katherine_cheney","NEW"," ---","2020-02-17 08:43:25","2020-02-17 08:43:49"
208155,"WebKit","WebKit Misc.","katherine_cheney","NEW"," ---","2020-02-24 13:39:28","2020-02-24 22:20:58"
208071,"WebKit","New Bugs","keith_miller","NEW"," ---","2020-02-21 12:09:01","2020-02-21 12:09:01"
201905,"WebKit","CSS","krit","NEW"," ---","2019-09-17 22:24:42","2020-02-07 15:00:40"
207916,"WebKit","WebCore Misc.","krollin","NEW"," ---","2020-02-18 15:10:29","2020-02-21 11:14:14"
207372,"WebKit","WPE WebKit","lmoura","NEW"," ---","2020-02-06 18:15:51","2020-02-11 19:31:29"
207986,"WebKit","Tools / Tests","lmoura","NEW"," ---","2020-02-19 19:56:18","2020-02-20 07:44:58"
138127,"WebKit","History","mcatanzaro","NEW"," ---","2014-10-27 22:23:32","2020-02-19 13:33:23"
207473,"WebKit","WebKitGTK","mcatanzaro","NEW"," ---","2020-02-10 09:40:00","2020-02-10 09:41:58"
208060,"WebKit","WebKit Misc.","mcatanzaro","NEW"," ---","2020-02-21 09:17:51","2020-02-21 09:37:02"
207791,"WebKit","New Bugs","megan_gardner","NEW"," ---","2020-02-14 14:23:19","2020-02-18 11:44:28"
207243,"WebKit","New Bugs","mmaxfield","NEW"," ---","2020-02-04 17:47:27","2020-02-06 14:00:12"
208023,"WebKit","New Bugs","mmaxfield","NEW"," ---","2020-02-20 11:32:12","2020-02-20 13:01:06"
208084,"WebKit","New Bugs","mmaxfield","NEW"," ---","2020-02-21 17:29:11","2020-02-24 11:40:49"
164193,"WebKit","DOM","Ms2ger","NEW"," ---","2016-10-29 15:54:46","2020-02-20 07:03:20"
208168,"WebKit","Layout and Rendering","nham","NEW"," ---","2020-02-24 16:37:29","2020-02-24 18:33:33"
207592,"WebKit","Media","peng.liu6","NEW"," ---","2020-02-11 15:41:30","2020-02-11 15:41:37"
207683,"WebKit","Media","peng.liu6","NEW"," ---","2020-02-12 23:08:51","2020-02-13 10:11:31"
207782,"WebKit","Media","peng.liu6","NEW"," ---","2020-02-14 12:06:05","2020-02-16 22:25:21"
207452,"WebKit","WebCore Misc.","pfeldman","NEW"," ---","2020-02-09 21:11:01","2020-02-14 10:14:58"
206010,"WebKit","JavaScriptCore","pmatos","NEW"," ---","2020-01-09 08:31:18","2020-02-14 02:33:20"
208048,"WebKit","New Bugs","pmatos","NEW"," ---","2020-02-21 04:28:54","2020-02-21 04:56:20"
195182,"WebKit","Web Template Framework","pnormand","NEW"," ---","2019-02-28 12:44:21","2020-02-24 01:58:22"
205658,"WebKit","Tools / Tests","pnormand","NEW"," ---","2019-12-31 11:23:48","2020-02-23 10:59:11"
207547,"WebKit","Platform","pnormand","NEW"," ---","2020-02-11 06:48:07","2020-02-12 06:34:03"
207634,"WebKit","Platform","pnormand","NEW"," ---","2020-02-12 07:52:17","2020-02-24 10:23:24"
207756,"WebKit","WPE WebKit","pnormand","NEW"," ---","2020-02-14 04:34:11","2020-02-25 01:37:20"
208012,"WebKit","WebKit Misc.","pvollan","NEW"," ---","2020-02-20 10:00:50","2020-02-20 10:05:00"
208033,"WebKit","WebKit Misc.","pvollan","NEW"," ---","2020-02-20 15:20:42","2020-02-21 08:27:58"
