change_id;revision-id;filename;line;start_line;end_line;LOC;message
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;;don't think this is needed because you can always convert const char* to std::string?
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;gmx::MultiDimArray<std::vector<double>, gmx::dynamicExtents2D> readXvgData(const char* fn);don't think this is needed because you can always convert const char* to std::string?
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;{;don't think this is needed because you can always convert const char* to std::string?
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;    return readXvgData(std::string(fn))_;don't think this is needed because you can always convert const char* to std::string?
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;;Done
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;gmx::MultiDimArray<std::vector<double>, gmx::dynamicExtents2D> readXvgData(const char* fn);Done
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;{;Done
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;69f350744e40d375283234a2afbe8a238aa53bee;src/gromacs/fileio/xvgr.cpp;826;822;826;    return readXvgData(std::string(fn))_;Done
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/tests/xvgio.cpp;78;77;78;        EXPECT_EQ(ref.extent(0), test.extent(1))_;Why compare extent 0 to 1 and 1 to 0? If this is intentional I think it is worth a comment.
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/tests/xvgio.cpp;78;77;78;        EXPECT_EQ(ref.extent(0), test.extent(1))_;It's just convenience, because the reference data is so much easier to create in a (row, column) format, but the xvg data is in (column, row) format. That's just a matter that we have a right_aligned layout for the multidimensional arrays implemented (last dimension index moves fastest), the xvg format does is fortran style (first dimension index changes fastest).  _  _ Definitely worth a comment, I just forgot.
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/tests/xvgio.cpp;124;121;124;    std::generate(begin(xvgRefData), end(xvgRefData), [n = 0.0]() mutable {;Nice
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/tests/xvgio.cpp;124;121;124;        n += 1.1_;Nice
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/tests/xvgio.cpp;124;121;124;        return n_;Nice
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/xvgr.cpp;737;0;0;gmx::MultiDimArray<std::vector<double>, gmx::dynamicExtents2D> readXvgData(const std::string& fn);would prefer having this the other way around, with const std::string being the default implementation, because you can always create a std::string from const char*
gromacs~master~Iac0b13d7db15f04a8b0b464df9fa136ff4b2a213;67bf9ce7c42ccdbaaaf86b71436b5bd9d2eb37ee;src/gromacs/fileio/xvgr.cpp;737;0;0;gmx::MultiDimArray<std::vector<double>, gmx::dynamicExtents2D> readXvgData(const std::string& fn);Done
gromacs~release-2020~I8b2b506fa998b6ed5e6d6d8ae4b78e27006df199;0bf190624b5e4a1402b8e1d9a4d3500986212bca;src/gromacs/taskassignment/decidegpuusage.cpp;571;570;571;    // 1. PME is on the GPU (there should be a copy of coordinates on GPU for PME spread), or;It seems like comment 2. should be renumbered to 3. and 2. should explain the second condition.
